name,continent,capital,largestcity,currency,language,population,landarea,agriculturearea,forestarea,co2emissions,image
Afghanistan,Asia,Kabul,Kabul,AFN,Pashto,"38,041,754","652,230",58.10%,2.10%,"8,672",https://expertvagabond.com/wp-content/uploads/afghanistan-wakhan-baba-tangi-900x600.jpg
Albania,Europe,Tirana,Tirana,ALL,Albanian,"2,854,191","28,748",43.10%,28.10%,"4,536",https://images.unsplash.com/photo-1529592767881-c6bb394eb83d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxBbGJhbmlhfGVufDB8fHx8MTcyOTQyNzc4OXww&ixlib=rb-4.0.3&q=80&w=1080
Algeria,Africa,Algiers,Algiers,DZD,Arabic,"43,053,054","2,381,741",17.40%,0.80%,"150,006",https://medias.lavie.fr/api/v1/images/view/668d3e8c8538b77306514c2a/width_1000/image.jpg
Andorra,Europe,Andorra la Vella,Andorra la Vella,EUR,Catalan,"77,142",468,40.00%,34.00%,469,https://images.unsplash.com/photo-1703252293659-97a00ecb827b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxBbmRvcnJhfGVufDB8fHx8MTcyOTQyNzc4OXww&ixlib=rb-4.0.3&q=80&w=1080
Angola,Africa,Luanda,Luanda,AOA,Portuguese,"31,825,295","1,246,700",47.50%,46.30%,"34,693",https://visitworld.today/media/country/image/desktop_image/7U9CKdWC1Hpj91jzn5amtCuwO0TCXwuvLb5HHOXV.webp
Antigua and Barbuda,North America,"St. John's, Saint John","St. John's, Saint John",XCD,English,"97,118",443,20.50%,22.30%,557,https://images.unsplash.com/photo-1706105551132-b78c2483c267?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxBbnRpZ3VhJTIwYW5kJTIwQmFyYnVkYXxlbnwwfHx8fDE3Mjk0Mjc3OTB8MA&ixlib=rb-4.0.3&q=80&w=1080
Argentina,South America,Buenos Aires,Buenos Aires,ARS,Spanish,"44,938,712","2,780,400",54.30%,9.80%,"201,348",https://images.unsplash.com/photo-1495317823589-e67efe1524b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxBcmdlbnRpbmF8ZW58MHx8fHwxNzI5NDI3NzkwfDA&ixlib=rb-4.0.3&q=80&w=1080
Armenia,Europe,Yerevan,Yerevan,AMD,Armenian,"2,957,731","29,743",58.90%,11.70%,"5,156",https://images.unsplash.com/photo-1528663775703-dba64f806cd1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxBcm1lbmlhfGVufDB8fHx8MTcyOTQyNzc5MHww&ixlib=rb-4.0.3&q=80&w=1080
Australia,Oceania,Canberra,Sydney,AUD,English,"25,766,605","7,741,220",48.20%,16.30%,"375,908",https://reisetips.nettavisen.no/content/uploads/sites/2/2022/03/iStock-497778218.jpg
Austria,Europe,Vienna,Vienna,EUR,German,"8,877,067","83,871",32.40%,46.90%,"61,448",https://images.unsplash.com/photo-1520503922584-590e8f7a90d7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxBdXN0cmlhfGVufDB8fHx8MTcyOTQyNzc5MXww&ixlib=rb-4.0.3&q=80&w=1080
Azerbaijan,Europe,Baku,Baku,AZN,Azerbaijani language,"10,023,318","86,600",57.70%,14.10%,"37,620",https://i.natgeofe.com/k/33f704a3-503f-49fa-9669-4ff033af739e/azerbaijan-buildings.jpg?wp=1&w=1084.125&h=609
Bahrain,Asia,Manama,Riffa,BHD,Arabic,"1,501,635",765,11.10%,0.80%,"31,694",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Bahrain_World_trade_Center_.jpg/640px-Bahrain_World_trade_Center_.jpg
Bangladesh,Asia,Dhaka,Dhaka,BDT,Bengali,"167,310,838","148,460",70.60%,11.00%,"84,246",https://www.kayak.no/rimg/dimg/c9/06/8d4fe0d8-city-28030-164fcc3b65d.jpg?width=1600&height=1200&xhint=2052&yhint=1839&crop=true
Barbados,North America,Bridgetown,Bridgetown,BBD,English,"287,025",430,23.30%,14.70%,"1,276",https://images.unsplash.com/photo-1685547798537-887410239676?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCYXJiYWRvc3xlbnwwfHx8fDE3Mjk0Mjc3OTF8MA&ixlib=rb-4.0.3&q=80&w=1080
Belarus,Europe,Minsk,Minsk,BYN,Russian,"9,466,856","207,600",42.00%,42.60%,"58,280",https://www.belarus.by/bimages/002438_990547.jpg
Belgium,Europe,City of Brussels,Brussels,EUR,French,"11,484,055","30,528",44.60%,22.60%,"96,889",https://images.unsplash.com/photo-1491557345352-5929e343eb89?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCZWxnaXVtfGVufDB8fHx8MTcyOTQyNzc5Mnww&ixlib=rb-4.0.3&q=80&w=1080
Belize,North America,Belmopan,Belize City,BZD,English,"390,353","22,966",7.00%,59.70%,568,https://images.unsplash.com/photo-1585537358069-c67a7a471cd0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCZWxpemV8ZW58MHx8fHwxNzI5NDI3NzkyfDA&ixlib=rb-4.0.3&q=80&w=1080
Benin,Africa,Porto-Novo,Cotonou,XOF,French,"11,801,151","112,622",33.30%,37.80%,"6,476",https://images.unsplash.com/photo-1445262514300-c58bfa7d9557?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCZW5pbnxlbnwwfHx8fDE3Mjk0Mjc3OTJ8MA&ixlib=rb-4.0.3&q=80&w=1080
Bhutan,Asia,Thimphu,Thimphu,BTN,Dzongkha,"727,145","38,394",13.60%,72.50%,"1,261",https://images.unsplash.com/photo-1532008779255-4b4dd2668c84?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCaHV0YW58ZW58MHx8fHwxNzI5NDI3NzkzfDA&ixlib=rb-4.0.3&q=80&w=1080
Bolivia,South America,Sucre,Santa Cruz de la Sierra,BOB,Spanish,"11,513,100","1,098,581",34.80%,50.30%,"21,606",https://www.fringinto.com/wp-content/uploads/2024/04/visiter-la-paz-bolivie.jpg
Bosnia and Herzegovina,Europe,Sarajevo,Tuzla Canton,BAM,Bosnian,"3,301,000","51,197",43.10%,42.70%,"21,848",https://images.unsplash.com/photo-1536269000461-da6a93f2b678?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCb3NuaWElMjBhbmQlMjBIZXJ6ZWdvdmluYXxlbnwwfHx8fDE3Mjk0Mjc3OTN8MA&ixlib=rb-4.0.3&q=80&w=1080
Botswana,Africa,Gaborone,Gaborone,BWP,English,"2,346,179","581,730",45.60%,18.90%,"6,340",https://images.unsplash.com/photo-1534528489707-ef61ee67b566?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCb3Rzd2FuYXxlbnwwfHx8fDE3Mjk0Mjc3OTR8MA&ixlib=rb-4.0.3&q=80&w=1080
Brazil,South America,Brasília,São Paulo,BRL,Portuguese,"212,559,417","8,515,770",33.90%,58.90%,"462,299",https://images.unsplash.com/photo-1483729558449-99ef09a8c325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCcmF6aWx8ZW58MHx8fHwxNzI5NDI3Nzk0fDA&ixlib=rb-4.0.3&q=80&w=1080
Brunei,Asia,Bandar Seri Begawan,,BND,Malay,"433,285","5,765",2.70%,72.10%,"7,664",https://images.unsplash.com/photo-1580979443662-13a976bd7632?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCcnVuZWl8ZW58MHx8fHwxNzI5NDI3Nzk0fDA&ixlib=rb-4.0.3&q=80&w=1080
Bulgaria,Europe,Sofia,Sofia,BGN,Bulgarian,"6,975,761","110,879",46.30%,35.40%,"41,708",https://www.balkantrails.com/wp-content/uploads/2024/05/Bulgaria-Travel-Guide-the-most-memorable-landmarks-and-must-see-destinations_BalkanTrails_1-1024x536.jpg
Burundi,Africa,Bujumbura,Bujumbura,BIF,Kirundi,"11,530,580","27,830",79.20%,10.90%,495,https://images.unsplash.com/photo-1675975678950-86576d108c3e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxCdXJ1bmRpfGVufDB8fHx8MTcyOTQyNzc5NXww&ixlib=rb-4.0.3&q=80&w=1080
Ivory Coast,Africa,Yamoussoukro,Abidjan,XOF,French,"25,716,544","322,463",64.80%,32.70%,"9,674",https://www.afrik21.africa/wp-content/uploads/2023/09/Abidjan-1-800x400.jpg
Cape Verde,Africa,Praia,Praia,CVE,Portuguese,"483,628","4,033",19.60%,22.50%,543,https://images.unsplash.com/photo-1544883549-3ceee3fbfb58?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDYXBlJTIwVmVyZGV8ZW58MHx8fHwxNzI5NDI3Nzk1fDA&ixlib=rb-4.0.3&q=80&w=1080
Cambodia,Asia,Phnom Penh,Phnom Penh,KHR,Khmer language,"16,486,542","181,035",30.90%,52.90%,"9,919",https://www.eyeonasia.gov.sg/images/asean-countries/Cambodia%20snapshot%20cover.jpg
Cameroon,Africa,Yaoundé,Douala,XAF,French,"25,876,380","475,440",20.60%,39.30%,"8,291",https://images.unsplash.com/photo-1474302173007-293973cab927?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDYW1lcm9vbnxlbnwwfHx8fDE3Mjk0Mjc3OTZ8MA&ixlib=rb-4.0.3&q=80&w=1080
Canada,North America,Ottawa,Toronto,CAD,French,"36,991,981","9,984,670",6.90%,38.20%,"544,894",https://images.unsplash.com/photo-1506104489822-562ca25152fe?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDYW5hZGF8ZW58MHx8fHwxNzI5NDI3Nzk2fDA&ixlib=rb-4.0.3&q=80&w=1080
Central African Republic,Africa,Bangui,Bangui,XAF,French,"4,745,185","622,984",8.20%,35.60%,297,https://images.unsplash.com/photo-1605859440670-0c32c5d73a6f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDZW50cmFsJTIwQWZyaWNhbiUyMFJlcHVibGljfGVufDB8fHx8MTcyOTQyNzc5Nnww&ixlib=rb-4.0.3&q=80&w=1080
Chad,Africa,N'Djamena,N'Djamena,XAF,French,"15,946,876","1,284,000",39.70%,3.80%,"1,016",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEoR32ih_BJUR_pKIRxExGnIpr8MNZb-NPolrE8BnyRPjhq7nisV8S0T5NCCnEa7mcjOE&usqp=CAU
Chile,South America,Santiago,Santiago,CLP,Spanish,"18,952,038","756,096",21.20%,24.30%,"85,822",https://images.unsplash.com/photo-1443479579455-1860f114bf77?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDaGlsZXxlbnwwfHx8fDE3Mjk0Mjc3OTd8MA&ixlib=rb-4.0.3&q=80&w=1080
China,Asia,Beijing,Shanghai,CNY,Standard Chinese,"1,397,715,000","9,596,960",56.20%,22.40%,"9,893,038",https://cdn.britannica.com/89/179589-138-3EE27C94/Overview-Great-Wall-of-China.jpg?w=800&h=450&c=crop
Colombia,South America,Bogotá,Bogotá,COP,Spanish,"50,339,443","1,138,910",40.30%,52.70%,"97,814",https://images.unsplash.com/photo-1534413340928-7bd74b65196f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDb2xvbWJpYXxlbnwwfHx8fDE3Mjk0Mjc3OTd8MA&ixlib=rb-4.0.3&q=80&w=1080
Comoros,Africa,"Moroni, Comoros","Moroni, Comoros",KMF,French,"850,886","2,235",71.50%,19.70%,202,https://images.unsplash.com/photo-1663699788269-a35b98e75074?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDb21vcm9zfGVufDB8fHx8MTcyOTQyNzc5N3ww&ixlib=rb-4.0.3&q=80&w=1080
Costa Rica,North America,San José,San José,CRC,Spanish,"5,047,561","51,100",34.50%,54.60%,"8,023",https://images.unsplash.com/photo-1582218290380-ae58573670e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDb3N0YSUyMFJpY2F8ZW58MHx8fHwxNzI5NDI3Nzk4fDA&ixlib=rb-4.0.3&q=80&w=1080
Croatia,Europe,Zagreb,Zagreb,HRK,Croatian,"4,067,500","56,594",27.60%,34.40%,"17,488",https://images.unsplash.com/photo-1454452176678-c0437432bba6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDcm9hdGlhfGVufDB8fHx8MTcyOTQyNzc5OHww&ixlib=rb-4.0.3&q=80&w=1080
Cuba,North America,Havana,Havana,CUP,Spanish,"11,333,483","110,860",59.90%,31.30%,"28,284",https://images.unsplash.com/photo-1530779189757-4a7734852dfd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDdWJhfGVufDB8fHx8MTcyOTQyNzc5OHww&ixlib=rb-4.0.3&q=80&w=1080
Cyprus,Europe,Nicosia,Nicosia,EUR,Greek,"1,198,575","9,251",12.20%,18.70%,"6,626",https://images.unsplash.com/photo-1468649437954-f86751c119b6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxDeXBydXN8ZW58MHx8fHwxNzI5NDI3Nzk4fDA&ixlib=rb-4.0.3&q=80&w=1080
Denmark,Europe,Copenhagen,Copenhagen,DKK,Danish,"5,818,553","43,094",62.00%,14.70%,"31,786",https://images.unsplash.com/photo-1513622470522-26c3c8a854bc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjY4NjN8MHwxfHNlYXJjaHwxfHxEZW5tYXJrfGVufDB8fHx8MTcyOTQyNzc5OXww&ixlib=rb-4.0.3&q=80&w=1080
